source_row,raw_unit,canonical_label,raw_occurrences,distinct_nonblank_corrections,mapping_status,canonical_unit_uri,external_mapping_status,recommended_disposition
218,CO2-C mg/kg/day,CO2-C mg/kg/d,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
219,CO2-C/MBC/hr,CO2-C/MBC/hr,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
220,Cold carcass %,% cold carcass,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
221,Cold carcass g/kg body weight,g cold carcass/kg body weight,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
222,colonies Atta cephalotes/ha,Atta cephalotes colonies/ha,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
223,concentrate,,1,0,unresolved,"",not-reviewed,Preserve raw label and hold canonical mapping until unit meaning is reviewed.
224,count,n,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
225,count/Kg,n/kg,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
226,counts/kg,n/kg,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
227,counts/m2,n/m2,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
228,d,d,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
229,day/ha,d/ha,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
230,days/ha,d/ha,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
231,days/year,d/yr,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
232,degraded,,1,0,unresolved,"",not-reviewed,Preserve raw label and hold canonical mapping until unit meaning is reviewed.
233,DM,,1,0,unresolved,"",not-reviewed,Preserve raw label and hold canonical mapping until unit meaning is reviewed.
234,DM/day,,1,0,unresolved,"",not-reviewed,Preserve raw label and hold canonical mapping until unit meaning is reviewed.
235,DM/ha,,1,0,unresolved,"",not-reviewed,Preserve raw label and hold canonical mapping until unit meaning is reviewed.
236,Dressing %,% dressing,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
237,Dromica limpompoipana log(x+1.5),Dromica limpompoipana log(x+1.5),1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
238,dS/m,dS/m,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
239,Earthworm toxonomic richness (S),earthworm toxonomic richness (S),1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
240,EBT/ha,EBT/ha,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
241,egg/hen,eggs/individual,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
242,egg/individual/day,eggs/d/individual,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
243,eggs,eggs,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
244,Eggs/Hen/Day,eggs/d/individual,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
245,eggs/hen/day,eggs/d/individual,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
246,eggs/individual.day,eggs/d/individual,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
247,eggs/individual/day,eggs/d/individual,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
248,EGP/day,EGP/d,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
249,EGP/goat,EGP/goat,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
250,EGP/ha,EGP/ha,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
251,EGP/individual,EGP/individual,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
252,EGP/individual/day,EGP/d/individual,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
253,EGP/kg,EGP/kg,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
254,EGP/m3,EGP/m3,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
255,EGP/replicate,EGP/replicate,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
256,ETA/ha,,1,0,unresolved,"",not-reviewed,Preserve raw label and hold canonical mapping until unit meaning is reviewed.
257,ETB,ETB,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
258,ETB/day,ETB/d,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
259,ETB/ha,ETB/ha,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
260,ETB/head,ETB/individual,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
261,ETB/individual,ETB/individual,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
262,ETB/individual/day,ETB/d/individual,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
263,ETB/sheep,ETB/sheep,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
264,ETD/head,ETB/individual,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
265,ETH/ha,,1,0,unresolved,"",not-reviewed,Preserve raw label and hold canonical mapping until unit meaning is reviewed.
266,EUR/ha,EUR/ha,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
267,Evenness,Evenness,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
268,Evenness Index,Evenness Index,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
269,Eviscerated %,Eviscerated %,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
270,excreta,,1,0,unresolved,"",not-reviewed,Preserve raw label and hold canonical mapping until unit meaning is reviewed.
271,F CFA/kg,XOF/kg,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
272,FCFA,XOF,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
273,FCFA/kg live weight gain,XOF/kg live weight gain,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
274,FCM,,1,0,unresolved,"",not-reviewed,Preserve raw label and hold canonical mapping until unit meaning is reviewed.
275,Fecundity,,1,0,unresolved,"",not-reviewed,Preserve raw label and hold canonical mapping until unit meaning is reviewed.
276,feed,,1,0,unresolved,"",not-reviewed,Preserve raw label and hold canonical mapping until unit meaning is reviewed.
277,forage,,1,0,unresolved,"",not-reviewed,Preserve raw label and hold canonical mapping until unit meaning is reviewed.
278,FRF/ha,FRF/ha,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
279,Fruits/plant,fruits/plant,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
280,Fungi CFU/g soil,fungi CFU/g soil,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
281,g,g,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
282,g  /kg,g/kg,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
283,g /individual/day,g/d/individual,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
284,g /kg,g/kg,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
285,g biomass /kg,g biomass/kg,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
286,g biomass/kg transpired,g biomass/kg transpired,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
287,g C/(ha d),g C/kg,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
288,g C/kg,g C/kg,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
289,g Carcass,g carcass,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
290,g C-CO2m2/day,g CO2-C/m2/d,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
291,g CH4-C/ha,g CH4-C/ha,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
292,g CH4-C/ha total over 14 days,g CH4-C/ha/14 d,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
293,g CO2-C/day,g CO2-C/d,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
294,g CO2-C/g C,g CO2-C/g C,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
295,g CO2-C/ha,g CO2-C/ha,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
296,g CO2-C/ha total over 14 days,g CO2-C/ha/14 d,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
297,g CO2-C/m2/day,g CO2-C/m2/d,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
298,g CO-C/m2/day,g CO-C/m2/d,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
299,g Cold Carcass,g cold carcass,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
300,g Defeathered,g defeathered,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
301,g DM  per square m,g DM/m2,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
302,g dm-3,d/dm3,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
303,g Dressed,g dressed,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
304,g dry matter/kg transpired,g DM/kg transpired,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
305,g firewood/g ingredient,g firewood/g ingredient,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
306,g g/N,,1,0,unresolved,"",not-reviewed,Preserve raw label and hold canonical mapping until unit meaning is reviewed.
307,g Hot Carcass,g hot carcass,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
308,g kg-3,g/kg,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
309,g N/(ha d),g N/ha/d,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
310,g N2O-N/ha,g N2O-N/ha,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
311,g N2O-N/ha total over 14 days,g N2O-N/ha/14 d,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
312,g N2O-N/ha/day,g N2O-N/ha/d,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
313,g N2O-N/ha/year,g N2O-N/ha/yr,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
314,g N2O-N/kg,g N2O-N/kg,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
315,g N-N2O/ha,g N2O-N/ha,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
316,g of C /day,g C/d,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
317,g of C in CO2 equiv/day,g CO2-C eq/d,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
318,g of C/day,g C/d,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
319,g of CO/day,g CO/d,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
320,g Slaughter Carcass,g slaughter carcass,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
321,g water/g dry soil,g water/g dry soil,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
322,g.kg,g/kg,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
323,g/ individual/day,g/d/individual,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
324,g/(m2 mm),g/m2/mm,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
325,g/100 g,g/100 g,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
326,g/100g,g/100 g,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
327,g/2.5l,g/2.5 l,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
328,g/21days,g/21 d,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
329,g/234,,1,0,unresolved,"",not-reviewed,Preserve raw label and hold canonical mapping until unit meaning is reviewed.
330,g/3 plants,g/3 plants,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
331,g/cm,g/cm,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
332,g/cm3,g/cm3,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
333,g/cob,g/cob,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
334,g/day,g/d,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
335,g/day/animal,g/d/individual,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
336,g/day/fish,g/d/individual,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
337,g/day/individual,g/d/individual,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
338,g/dindividual/day,g/d/individual,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
339,g/dm3,g/dm3,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
340,g/dozen,g/dozen,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
341,g/fish,g/individual,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
342,g/g,g/g,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
343,g/g N,g/g N,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
344,g/goat/day,g/d/goat,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
345,g/ha,g/ha,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
346,g/ha/day,g/ha/d,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
347,g/head/day,g/d/individual,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
348,g/Individual,g/individual,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
349,g/individual.day,g/d/individual,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
350,g/individual/d,g/d/individual,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
351,g/Individual/day,g/d/individual,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
352,g/individual/day,g/d/individual,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
353,g/indivividual/day,g/d/individual,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
354,g/ka,,1,0,unresolved,"",not-reviewed,Preserve raw label and hold canonical mapping until unit meaning is reviewed.
355,g/Kg,g/kg,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
356,g/kg fuel,g/kg fuel,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
357,g/l,g/l,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
358,g/l charcoal,g/l charcoal,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
359,g/l firewood,g/l firewood,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
360,g/m/s,g/m/s,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
361,g/m2,g/m2,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
362,g/m2 DM,g DM/m2,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
363,g/m3,g/m3,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
364,g/m3/day,g/m3/d,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
365,g/MJ,g/MJ,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
366,g/mm,g/mm,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
367,g/ndividual/day,g/d/individual,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
368,g/piece,g/piece,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
369,g/plant,g/plant,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
370,g/tree,g/tree,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
371,g/tree/year,g/tree/year,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
372,g/vine,g/vine,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
373,g/week,g/week,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
374,g/year,g/year,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
375,gain/feed,,1,0,unresolved,"",not-reviewed,Preserve raw label and hold canonical mapping until unit meaning is reviewed.
376,gain/protein,,1,0,unresolved,"",not-reviewed,Preserve raw label and hold canonical mapping until unit meaning is reviewed.
377,gained,,1,0,unresolved,"",not-reviewed,Preserve raw label and hold canonical mapping until unit meaning is reviewed.
378,GHC,GHC,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
379,GHC/ha,GHS/ha,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
380,GHC/person-day,GHC/person-day,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
381,GHS,GHS,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
382,GHS/acre,GHS/acre,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
383,GHS/ha,GHS/ha,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
384,GMD/ha,GMD/ha,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
385,group richness,group richness,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
386,h,h,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
387,H,Shannon-Weaver Index (H'),1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
388,H',Shannon-Weaver Index (H'),1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
389,h/day,hr/d,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
390,h/year,hr/yr,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
391,H’,Shannon-Weaver Index (H'),1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
392,H′,Shannon-Weaver Index (H'),1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
393,ha/h,ha/hr,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
394,hg/ha,kg/ha,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
395,Hot carcass %,hot carcass %,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
396,Hot carcass g/kg body weight,hot carcass g/kg body weight,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
397,hours,hrs,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
398,hours (collecting firewood),hrs (collecting firewood),1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
399,hours/ha,hr/ha,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
400,hours/week (cooking),hr/week (cooking),1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
401,hours/week (firewood preparation),hr/week (firewood preparation),1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
402,hours/week (fuel collection),hr/week (fuel collection),1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
403,hr/ha,hr/ha,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
404,IBW/individual,IBW/individual,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
405,in,,1,0,unresolved,"",not-reviewed,Preserve raw label and hold canonical mapping until unit meaning is reviewed.
406,Index,,1,0,unresolved,"",not-reviewed,Preserve raw label and hold canonical mapping until unit meaning is reviewed.
407,Individuals,n,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
408,individuals/100g dry soil,n/100 g dry soil,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
409,Individuals/m2,n/m2,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
410,INR/ha,INR/ha,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
411,insects/100g,n/100 g,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
412,insects/500g,n/500 g,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
413,intake,,1,0,unresolved,"",not-reviewed,Preserve raw label and hold canonical mapping until unit meaning is reviewed.
414,KES,KES,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
415,KES/100kg,KES/100 kg,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
416,KES/ha,KES/ha,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
417,KES/kg,KES/kg,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
418,Kg,kg,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
419,kg,kg,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
420,kg /ha,kg/ha,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
421,kg /ha/mm,kg/ha/mm,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
422,kg attacked,kg attacked,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
423,kg biomass/(ha/mm rainfall),kg biomass/ha/mm,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
424,kg biomass/ha/mm,kg biomass/ha/mm,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
425,kg biomass/kg P applied,kg biomass/kg P,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
426,kg biomass/mm,kg biomass/mm,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
427,kg C /ha/ yr,kg C/ha/yr,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
428,kg C/(ha d),kg C/ha/d,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
429,kg C/m3,kg C/m3,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
430,kg Carcass,kg carcass,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
431,kg CH4 C /ha/yr,kg CH4-C/ha/yr,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
432,kg CH4-C/ha,kg CH4-C/ha,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
433,kg clean wool,kg clean wool,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
434,kg CO2eq/kg,kg CO2eq/kg,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
435,kg Cold carcass,kg cold carcass,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
436,kg DM/ha,kg DM/ha,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
437,kg DM/ha/mm,kg DM/ha/mm,1,1,identity-label,"",not-reviewed,Retain label mapping and review canonical identifier plus quantity kind.
438,kg Dressed,kg dressed,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
439,kg dry matter/(ha mm),kg DM/ha/mm,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
440,kg dry matter/ha/mm,kg DM/ha/mm,1,1,normalized-label,"",not-reviewed,Validate normalization or conversion semantics and review canonical identifier plus quantity kind.
