concept_id,scheme_id,concept_type,preferred_label,source_notation,parent_id,direct_child_count,same_label_child_ids,normalized_pref_label_collision_count,reviewed_role,recommended_representation,recommended_action,status,evidence_ids,rationale
era:practice:theme:003,era:scheme:practice,theme,Blue Water Management,Blue Water Management,,4,,1,editorial-navigation,skos:Collection,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Source level organizes reporting or browsing; it does not establish inherent broader meaning.
era:practice:theme:004,era:scheme:practice,theme,Crop Management,Crop Management,,7,,1,editorial-navigation,skos:Collection,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Source level organizes reporting or browsing; it does not establish inherent broader meaning.
era:practice:theme:005,era:scheme:practice,theme,Energy,Energy,,5,,1,editorial-navigation,skos:Collection,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Source level organizes reporting or browsing; it does not establish inherent broader meaning.
era:practice:theme:006,era:scheme:practice,theme,Genetic improvement,Genetic improvement,,2,,3,editorial-navigation,skos:Collection,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Source level organizes reporting or browsing; it does not establish inherent broader meaning.
era:practice:theme:007,era:scheme:practice,theme,Green Water Management,Green Water Management,,1,,1,editorial-navigation,skos:Collection,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Source level organizes reporting or browsing; it does not establish inherent broader meaning.
era:practice:theme:008,era:scheme:practice,theme,Non-CSA,Non-CSA,,3,era:practice:practice:040,2,editorial-navigation,skos:Collection,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Source level organizes reporting or browsing; it does not establish inherent broader meaning.
era:practice:theme:009,era:scheme:practice,theme,Nutrient Management,Nutrient Management,,5,,1,editorial-navigation,skos:Collection,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Source level organizes reporting or browsing; it does not establish inherent broader meaning.
era:practice:theme:010,era:scheme:practice,theme,Postharvest,Postharvest,,4,,1,editorial-navigation,skos:Collection,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Source level organizes reporting or browsing; it does not establish inherent broader meaning.
era:practice:theme:011,era:scheme:practice,theme,Soil Management,Soil Management,,13,,1,editorial-navigation,skos:Collection,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Source level organizes reporting or browsing; it does not establish inherent broader meaning.
era:practice:theme:012,era:scheme:practice,theme,Water Management,Water Management,,2,,1,editorial-navigation,skos:Collection,do-not-promote-current-node-as-is,held,E-PILOT;E-SKOS,Source level organizes reporting or browsing; it does not establish inherent broader meaning.
