collision_group_id,collision_scope,normalized_label,source_or_pilot_id,source_label_types,source_concept_type,other_concept_id,other_label_types,definition_match,code_mapping_match,recommended_disposition,status,rationale
AOM-057,source-to-aom,soil no3,out:226.3,preferred-source-label,out,AOM_000489,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-058,source-to-aom,soil nh4,out:226.4,preferred-source-label,out,AOM_000490,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-059,source-to-aom,soil moisture,out:231,preferred-source-label,out,AOM_000491,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-060,source-to-aom,infiltration rate,out:221,preferred-source-label,out,AOM_000492,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-061,source-to-aom,cation exchange capacity,out:228,preferred-source-label,out,AOM_000493,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-062,source-to-aom,effective cation exchange capacity,out:228.1,preferred-source-label,out,AOM_000494,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-063,source-to-aom,yield stability,out:270,preferred-source-label,out,AOM_000496,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-064,source-to-aom,animal survival,out:236.1,preferred-source-label,out,AOM_000497,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-065,source-to-aom,animal mortality,out:236.2,preferred-source-label,out,AOM_000498,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-066,source-to-aom,water use efficiency,out:232.2,preferred-source-label,out,AOM_000500,pref,not-exact-or-missing,yes,identity-review-required,held,Label collision lacks enough evidence for equivalence or distinction.
AOM-067,source-to-aom,total factor productivity,out:257,preferred-source-label,out,AOM_000511,pref,not-exact-or-missing,yes,identity-review-required,held,Label collision lacks enough evidence for equivalence or distinction.
AOM-068,source-to-aom,feed conversion ratio (out in),out:267,preferred-source-label,out,AOM_000513,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-069,source-to-aom,feed conversion ratio (in out),out:267.1,preferred-source-label,out,AOM_000514,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-070,source-to-aom,protein conversion ratio (out in),out:265,preferred-source-label,out,AOM_000515,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-071,source-to-aom,protein conversion ratio (in out),out:265.1,preferred-source-label,out,AOM_000516,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-072,source-to-aom,income female,out:242,preferred-source-label,out,AOM_000517,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-073,source-to-aom,income male,out:243,preferred-source-label,out,AOM_000518,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-074,source-to-aom,return to labour,out:133,preferred-source-label,out,AOM_000396,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-075,source-to-aom,co2 equivalent emissions,out:304,preferred-source-label,out,AOM_000521,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-076,source-to-aom,methane emissions,out:305,preferred-source-label,out,AOM_000522,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-077,source-to-aom,nitrous oxide emissions,out:306,preferred-source-label,out,AOM_000523,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-078,source-to-aom,carbon dioxide emissions,out:307,preferred-source-label,out,AOM_000524,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-079,source-to-aom,emissions intensity,out:311,preferred-source-label,out,AOM_000525,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-080,source-to-aom,soil carbon stocks,out:308,preferred-source-label,out,AOM_000527,pref,not-exact-or-missing,yes,identity-review-required,held,Label collision lacks enough evidence for equivalence or distinction.
AOM-081,source-to-aom,aboveground carbon biomass,out:309,preferred-source-label,out,AOM_000529,pref,exact-normalized,yes,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-082,source-to-aom,belowground carbon biomass,out:310,preferred-source-label,out,AOM_000530,pref,exact-normalized,no,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-083,source-to-aom,herbicides,out_econ:row:15,preferred-source-label,out_econ,AOM_000423,pref,not-exact-or-missing,no,identity-review-required,held,Label collision lacks enough evidence for equivalence or distinction.
AOM-084,source-to-aom,insecticides,out_econ:row:16,preferred-source-label,out_econ,AOM_000424,pref,not-exact-or-missing,no,identity-review-required,held,Label collision lacks enough evidence for equivalence or distinction.
AOM-085,source-to-aom,fungicide,out_econ:row:17,preferred-source-label,out_econ,AOM_000425,pref,not-exact-or-missing,no,identity-review-required,held,Label collision lacks enough evidence for equivalence or distinction.
AOM-086,source-to-aom,labor cost,out_econ:row:29,preferred-source-label,out_econ,AOM_000439,pref,not-exact-or-missing,no,identity-review-required,held,Label collision lacks enough evidence for equivalence or distinction.
AOM-087,source-to-aom,family labor cost,out_econ:row:30,preferred-source-label,out_econ,AOM_101010,pref,not-exact-or-missing,no,identity-review-required,held,Label collision lacks enough evidence for equivalence or distinction.
AOM-088,source-to-aom,family labor cost (male),out_econ:row:31,preferred-source-label,out_econ,AOM_000441,pref,not-exact-or-missing,no,identity-review-required,held,Label collision lacks enough evidence for equivalence or distinction.
AOM-089,source-to-aom,family labor cost (female),out_econ:row:32,preferred-source-label,out_econ,AOM_000442,pref,not-exact-or-missing,no,identity-review-required,held,Label collision lacks enough evidence for equivalence or distinction.
AOM-090,source-to-aom,hired labor cost,out_econ:row:33,preferred-source-label,out_econ,AOM_000443,pref,not-exact-or-missing,no,identity-review-required,held,Label collision lacks enough evidence for equivalence or distinction.
AOM-091,source-to-aom,land rent,out_econ:row:34,preferred-source-label,out_econ,AOM_000444,pref,exact-normalized,no,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-092,source-to-aom,packaging material,out_econ:row:35,preferred-source-label,out_econ,AOM_000445,pref,exact-normalized,no,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-093,source-to-aom,tax,out_econ:row:36,preferred-source-label,out_econ,AOM_000447,pref,exact-normalized,no,reuse-existing-aom-id-candidate,proposed,Normalized preferred label and definition match; stable AOM identity has priority pending module review.
AOM-094,source-to-aom,labor opportunity cost,out_econ:row:37,preferred-source-label,out_econ,AOM_000448,pref,not-exact-or-missing,no,identity-review-required,held,Label collision lacks enough evidence for equivalence or distinction.
AOM-095,source-to-aom,capital opportunity cost,out_econ:row:38,preferred-source-label,out_econ,AOM_000449,pref,not-exact-or-missing,no,identity-review-required,held,Label collision lacks enough evidence for equivalence or distinction.
AOM-096,source-to-aom,land opportunity cost,out_econ:row:39,preferred-source-label,out_econ,AOM_000450,pref,not-exact-or-missing,no,identity-review-required,held,Label collision lacks enough evidence for equivalence or distinction.
AOM-097,source-to-aom,monetary societal benefits,out_econ:row:49,preferred-source-label,out_econ,AOM_000457,pref,not-exact-or-missing,no,identity-review-required,held,Label collision lacks enough evidence for equivalence or distinction.
AOM-098,source-to-aom,non-monetary societal benefits,out_econ:row:50,preferred-source-label,out_econ,AOM_000458,pref,not-exact-or-missing,no,identity-review-required,held,Label collision lacks enough evidence for equivalence or distinction.
AOM-099,source-to-aom,threshing,out_econ:row:54,preferred-source-label,out_econ,AOM_101073,pref,not-exact-or-missing,no,identity-review-required,held,Label collision lacks enough evidence for equivalence or distinction.
AOM-100,source-to-aom,animal bedding,out_econ:row:66,preferred-source-label,out_econ,AOM_001087,pref,not-exact-or-missing,no,identity-review-required,held,Label collision lacks enough evidence for equivalence or distinction.
