source_sheet,source_row,source_id,source_code_lexical,proposed_governed_code,source_label,source_status,domain,current_pilot_id,current_pilot_path,current_model_issue,recommended_resource,recommended_model,recommended_action,decision_status,legacy_code_mapping_candidates,same_label_aom_candidates,exact_definition_aom_candidates,authority_label_candidates,evidence_ids,reviewer,review_date,rationale
prac,97,prac:c4,c4,c4,Biofertilizer,TRUE,energy,era:practice:c4,Energy / Biogas / Biofertilizer,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",module-unassigned,agricultural-practice-concept,hold-deprecated-source-record,held,,,,AGRO_00020001,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,Deprecated source row requires replacement or lifecycle decision; it must not become a new active identity.
prac,98,prac:c3,c3,c3,Biogas Switching,FALSE,energy,era:practice:c3,Energy / Biogas / Biogas Switching,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",module-unassigned,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,99,prac:c2,c2,c2,Improved Cookstoves,FALSE,energy,era:practice:c2,Energy / Cookstove / Improved Cookstoves,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",module-unassigned,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,100,prac:c5,c5,c5,Cookstove Switching,FALSE,energy,era:practice:c5,Energy / Cookstove / Cookstove Switching,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",module-unassigned,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,101,prac:h14,h14,h14,Unimproved Stove Technology,FALSE,energy,era:practice:h14,Energy / Cookstove / Unimproved Stove Technology,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",module-unassigned,practice-or-condition-plus-experimental-role,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,102,prac:h15,h15,h15,Conventional Biomass Feedstocks,FALSE,energy,era:practice:h15,Energy / Biogas/cookstove / Conventional Biomass Feedstocks,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",module-unassigned,practice-or-condition-plus-experimental-role,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,103,prac:h16,h16,h16,Predominant Biodigestor Model,TRUE,energy,era:practice:h16,Energy / Biogas / Predominant Biodigestor Model,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",module-unassigned,source-field-or-context-descriptor,hold-deprecated-source-record,held,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,Deprecated source row requires replacement or lifecycle decision; it must not become a new active identity.
prac,104,prac:h26,h26,h26,Conventional Energy Sources,FALSE,energy,era:practice:h26,Energy / Cookstove / Conventional Energy Sources,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",module-unassigned,practice-or-condition-plus-experimental-role,hold-existing-aom-code-mapping-review,held,AOM_000105,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,One legacy code mapping exists but exact identity is not established by definition.
prac,105,prac:b4,b4,b4,Drought Tolerance,FALSE,crop,era:practice:b4,Genetic improvement / Improved Varieties / Drought Tolerance,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,106,prac:b5,b5,b5,Heat Tolerance,FALSE,crop,era:practice:b5,Genetic improvement / Improved Varieties / Heat Tolerance,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-distinct-context-pending-identity-review,held,,AOM_000156,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,"Same label exists in AOM with different feed, animal, or generic scope; label equality cannot merge identities."
prac,107,prac:b6,b6,b6,Salinity Tolerance,FALSE,crop,era:practice:b6,Genetic improvement / Improved Varieties / Salinity Tolerance,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,108,prac:b69,b69,b69,Improved Seeds,FALSE,crop,era:practice:b69,Genetic improvement / Improved Varieties / Improved Seeds,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,109,prac:h55,h55,h55,Unimproved Variety,FALSE,crop,era:practice:h55,Genetic improvement / Unimproved Variety / Unimproved Variety,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,practice-or-condition-plus-experimental-role,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,110,prac:b35,b35,b35,Cisterns and Tanks,FALSE,crop,era:practice:b35,Green Water Management / Water Harvesting / Cisterns and Tanks,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,111,prac:b33,b33,b33,Zai Pits,FALSE,crop,era:practice:b33,Green Water Management / Water Harvesting / Zai Pits,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,112,prac:b45,b45,b45,Stone Rows,FALSE,crop,era:practice:b45,Green Water Management / Water Harvesting / Stone Rows,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,113,prac:b46,b46,b46,Grass Strips,FALSE,crop,era:practice:b46,Green Water Management / Water Harvesting / Grass Strips,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,114,prac:b47,b47,b47,Planting Basins,FALSE,crop,era:practice:b47,Green Water Management / Water Harvesting / Planting Basins,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,115,prac:b68,b68,b68,Dam,FALSE,crop,era:practice:b68,Green Water Management / Water Harvesting / Dam,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,ENVO_00000074,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,116,prac:b70,b70,b70,Terraces,FALSE,crop,era:practice:b70,Green Water Management / Water Harvesting / Terraces,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,117,prac:b71.1,b71.1,b71.1,Bunds,FALSE,crop,era:practice:b71.1,Green Water Management / Water Harvesting / Bunds,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,118,prac:b71.2,b71.2,b71.2,Ridge & Furrow,FALSE,crop,era:practice:b71.2,Green Water Management / Water Harvesting / Ridge & Furrow,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,119,prac:b71.3,b71.3,b71.3,Tied Ridges,FALSE,crop,era:practice:b71.3,Green Water Management / Water Harvesting / Tied Ridges,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,120,prac:b52,b52,b52,Microcatchments,FALSE,crop,era:practice:b52,Green Water Management / Water Harvesting / Microcatchments,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,121,prac:b56,b56,b56,Fanya Juu or Fanya Chini,FALSE,crop,era:practice:b56,Green Water Management / Water Harvesting / Fanya Juu or Fanya Chini,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,122,prac:b58,b58,b58,Trench,FALSE,crop,era:practice:b58,Green Water Management / Water Harvesting / Trench,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,ENVO_01000649,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,123,prac:h1,h1,h1,Non CSA,TRUE,cross-domain,era:practice:h1,Non-CSA / Non-CSA / Non CSA,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",module-review,agricultural-practice-concept,hold-deprecated-source-record,held,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,Deprecated source row requires replacement or lifecycle decision; it must not become a new active identity.
prac,124,prac:h2,h2,h2,Monoculture,FALSE,cross-domain,era:practice:h2,Non-CSA / Agronomy;Agroforestry / Monoculture,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",module-review,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,AGRO_00000481,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,125,prac:h38,h38,h38,Continuous Cropping,TRUE,cross-domain,era:practice:h38,Non-CSA / Agronomy / Continuous Cropping,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",module-review,agricultural-practice-concept,hold-deprecated-source-record,held,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,Deprecated source row requires replacement or lifecycle decision; it must not become a new active identity.
prac,126,prac:h18,h18,h18,Simple Intercrop,TRUE,cross-domain,era:practice:h18,Non-CSA / Agronomy;Agroforestry / Simple Intercrop,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",module-review,agricultural-practice-concept,hold-deprecated-source-record,held,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,Deprecated source row requires replacement or lifecycle decision; it must not become a new active identity.
prac,127,prac:h50,h50,h50,Simple Crop Rotation,TRUE,cross-domain,era:practice:h50,Non-CSA / Agronomy;Agroforestry / Simple Crop Rotation,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",module-review,agricultural-practice-concept,hold-deprecated-source-record,held,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,Deprecated source row requires replacement or lifecycle decision; it must not become a new active identity.
prac,128,prac:h48,h48,h48,Conventional rice management,TRUE,cross-domain,era:practice:h48,Non-CSA / Agronomy / Conventional rice management,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",module-review,practice-or-condition-plus-experimental-role,hold-deprecated-source-record,held,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,Deprecated source row requires replacement or lifecycle decision; it must not become a new active identity.
prac,129,prac:h66.1,h66.1,h66.1,Chemical Weeding (Herbicides),FALSE,cross-domain,era:practice:h66.1,Non-CSA / Agronomy;Agroforestry / Chemical Weeding (Herbicides),"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",module-review,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,130,prac:h66.2,h66.2,h66.2,Hand Weeding,FALSE,cross-domain,era:practice:h66.2,Non-CSA / Agronomy;Agroforestry / Hand Weeding,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",module-review,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,131,prac:b16,b16,b16,Inorganic K Inputs,FALSE,crop,era:practice:b16,Nutrient Management / Inorganic Fertilizer / Inorganic K Inputs,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,132,prac:b17,b17,b17,Inorganic N Inputs,FALSE,crop,era:practice:b17,Nutrient Management / Inorganic Fertilizer / Inorganic N Inputs,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,133,prac:b21,b21,b21,Inorganic P Inputs,FALSE,crop,era:practice:b21,Nutrient Management / Inorganic Fertilizer / Inorganic P Inputs,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,134,prac:b16.1,b16.1,b16.1,Inorganic K Reduction,FALSE,crop,era:practice:b16.1,Nutrient Management / Inorganic Fertilizer Reduction / Inorganic K Reduction,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,135,prac:b17.1,b17.1,b17.1,Inorganic N Reduction,FALSE,crop,era:practice:b17.1,Nutrient Management / Inorganic Fertilizer Reduction / Inorganic N Reduction,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,136,prac:b21.1,b21.1,b21.1,Inorganic P Reduction,FALSE,crop,era:practice:b21.1,Nutrient Management / Inorganic Fertilizer Reduction / Inorganic P Reduction,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,137,prac:b64,b64,b64,Inorganic Micronutrients Inputs,FALSE,crop,era:practice:b64,Nutrient Management / Inorganic Fertilizer / Inorganic Micronutrients Inputs,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,138,prac:b23,b23,b23,Urea,FALSE,crop,era:practice:b23,Nutrient Management / Inorganic Fertilizer / Urea,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-distinct-context-pending-identity-review,held,,AOM_001749,,CHEBI_16199,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,"Same label exists in AOM with different feed, animal, or generic scope; label equality cannot merge identities."
prac,139,prac:b29,b29,b29,Compost,FALSE,crop,era:practice:b29,Nutrient Management / Organic Fertilizer / Compost,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,ENVO_00002170,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,140,prac:b30,b30,b30,Manure,FALSE,crop,era:practice:b30,Nutrient Management / Organic Fertilizer / Manure,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,141,prac:b75,b75,b75,Kraaling or Parcage,FALSE,crop,era:practice:b75,Nutrient Management / Organic Fertilizer / Kraaling or Parcage,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,142,prac:b73,b73,b73,Organic (Other),FALSE,crop,era:practice:b73,Nutrient Management / Organic Fertilizer / Organic (Other),"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,143,prac:b74,b74,b74,Ash,FALSE,crop,era:practice:b74,Nutrient Management / Organic Fertilizer / Ash,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-distinct-context-pending-identity-review,held,,AOM_000226,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,"Same label exists in AOM with different feed, animal, or generic scope; label equality cannot merge identities."
prac,144,prac:b67,b67,b67,Biosolids,FALSE,crop,era:practice:b67,Nutrient Management / Organic Fertilizer / Biosolids,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,145,prac:b29.1,b29.1,b29.1,Compost Substitution,FALSE,crop,era:practice:b29.1,Nutrient Management / Organic Fertilizer Substitution / Compost Substitution,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,146,prac:b30.1,b30.1,b30.1,Manure Substitution,FALSE,crop,era:practice:b30.1,Nutrient Management / Organic Fertilizer Substitution / Manure Substitution,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,147,prac:b75.1,b75.1,b75.1,Kraaling or Parcage Substitution,FALSE,crop,era:practice:b75.1,Nutrient Management / Organic Fertilizer Substitution / Kraaling or Parcage Substitution,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,148,prac:b73.1,b73.1,b73.1,Organic (Other) Substitution,FALSE,crop,era:practice:b73.1,Nutrient Management / Organic Fertilizer Substitution / Organic (Other) Substitution,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,149,prac:b67.1,b67.1,b67.1,Biosolids Substitution,FALSE,crop,era:practice:b67.1,Nutrient Management / Organic Fertilizer Substitution / Biosolids Substitution,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,150,prac:h10,h10,h10,Conventional input (fertilizer) use,FALSE,crop,era:practice:h10,Nutrient Management / Fertilizer Control / Conventional input (fertilizer) use,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,practice-or-condition-plus-experimental-role,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,151,prac:h10.1,h10.1,h10.1,No fertilizers added,FALSE,crop,era:practice:h10.1,Nutrient Management / Fertilizer Control / No fertilizers added,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,practice-or-condition-plus-experimental-role,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,152,prac:h10.2,h10.2,h10.2,Recommend rate of fertilizer,FALSE,crop,era:practice:h10.2,Nutrient Management / Fertilizer Control / Recommend rate of fertilizer,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,153,prac:f1,f1,f1,Harvest Technique,FALSE,crop,era:practice:f1,Postharvest / Harvest Method / Harvest Technique,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,154,prac:f2,f2,f2,Harvesting Timing,FALSE,crop,era:practice:f2,Postharvest / Harvest Method / Harvesting Timing,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,155,prac:f3,f3,f3,Improved Drying,FALSE,crop,era:practice:f3,Postharvest / Storage / Improved Drying,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,156,prac:f4,f4,f4,Improved Chemical Storage,FALSE,crop,era:practice:f4,Postharvest / Storage / Improved Chemical Storage,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,157,prac:f5,f5,f5,Improved Physical Storage,FALSE,crop,era:practice:f5,Postharvest / Storage / Improved Physical Storage,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,158,prac:h17,h17,h17,Traditional harvesting method,FALSE,crop,era:practice:h17,Postharvest / Harvest Method / Traditional harvesting method,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,159,prac:h21,h21,h21,Unimproved Storage Structure,FALSE,crop,era:practice:h21,Postharvest / Storage / Unimproved Storage Structure,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,practice-or-condition-plus-experimental-role,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,160,prac:h22,h22,h22,Unimprove or No Preservation Technique,FALSE,crop,era:practice:h22,Postharvest / Storage / Unimprove or No Preservation Technique,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,161,prac:h30,h30,h30,Uimproved Drying Technique,FALSE,crop,era:practice:h30,Postharvest / Storage / Uimproved Drying Technique,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,162,prac:b38,b38,b38,No or Zero Tillage,FALSE,crop,era:practice:b38,Soil Management / Reduced Tillage / No or Zero Tillage,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,practice-or-condition-plus-experimental-role,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,163,prac:b39,b39,b39,Reduced or Minimum Tillage,FALSE,crop,era:practice:b39,Soil Management / Reduced Tillage / Reduced or Minimum Tillage,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
prac,164,prac:b26,b26,b26,Plastic Mulch,FALSE,crop,era:practice:b26,Soil Management / Mulch / Plastic Mulch,"Current pilot conflates source hierarchy, concept identity, and experimental comparison context.",aom-crop,agricultural-practice-concept,retain-source-candidate-pending-row-review,proposed,,,,AGRO_00000093,E-SRC-WORKBOOK;E-PILOT;E-AOM-STAGING,,,No approved existing identity found; retain source record without allocating a public identifier.
