case_id,priority,top_branch,review_batch,candidate_parent_label,candidate_parent_path,candidate_depth,affected_child_count,affected_child_ids,sample_child_labels,nearest_explicit_ancestor_id,nearest_explicit_ancestor_path,same_label_existing_ids,review_question,decision,approved_parent_id,reviewer,review_date,evidence,rationale
PARENT-084,normal,Management,Management / Livestock Management,Coconut,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts/Coconut,8,2,AOM_001306;AOM_002102,Coconut Ground; Coconut Cake,AOM_000628,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-085,normal,Management,Management / Livestock Management,Cotton,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts/Cotton,8,1,AOM_003973,Cotton Seed,AOM_000628,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-086,normal,Management,Management / Livestock Management,Hibiscus,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts/Hibiscus,8,1,AOM_001893,Hibiscus Seed,AOM_000628,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-087,normal,Management,Management / Livestock Management,Jojoba,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts/Jojoba,8,2,AOM_003897;AOM_006380,Jojoba Ground; Jojoba Enzyme Treated Ground,AOM_000628,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-088,medium,Management,Management / Livestock Management,Linseed,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts/Linseed,8,3,AOM_001301;AOM_002136;AOM_006408,Linseed Cake Ground; Linseed Cake; Linseed Ground,AOM_000628,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts,AOM_001185,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-089,normal,Management,Management / Livestock Management,Macadamia,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts/Macadamia,8,1,AOM_001303,Macadamia Cake,AOM_000628,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-090,normal,Management,Management / Livestock Management,Olive,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts/Olive,8,1,AOM_001192,Olive Cake,AOM_000628,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-091,medium,Management,Management / Livestock Management,Palm Kernel,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts/Palm/Palm Kernel,9,7,AOM_000625;AOM_001638;AOM_001708;AOM_002104;AOM_002105;AOM_006151;AOM_006411,Palm Kernel Ground; Palm Kernel Cake; Palm Kernel Dried Ground; Palm Kernel Cake Ground; Palm Kernel Cake Dried Fermented Ground,AOM_000628,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-092,medium,Management,Management / Livestock Management,Sesame,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts/Sesame,8,4,AOM_001335;AOM_001440;AOM_001776;AOM_003928,Sesame Ground; Sesame Seed; Sesame Fermented; Sesame Residue,AOM_000628,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-093,normal,Management,Management / Livestock Management,Sheanut,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts/Sheanut,8,2,AOM_001278;AOM_001645,Sheanut Cake; Sheanut Cake Boiled Dried,AOM_000628,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts,AOM_001897,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-094,normal,Management,Management / Livestock Management,Sunflower,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts/Sunflower,8,1,AOM_001337,Sunflower Ground,AOM_000628,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts,AOM_000673,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-095,normal,Management,Management / Livestock Management,Sunflower Seed,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts/Sunflower/Sunflower Seed,9,2,AOM_001338;AOM_001894,Sunflower Seed Cake; Sunflower Seed Cake Ground,AOM_000628,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts,AOM_002208,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-096,normal,Management,Management / Livestock Management,Walnut,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts/Walnut,8,1,AOM_002092,Walnut Leaves,AOM_000628,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant ByProducts,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-097,normal,Management,Management / Livestock Management,Cotton,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Oil Plant Products/Cotton,8,1,AOM_001312,Cotton Seed,AOM_001916,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-098,normal,Management,Management / Livestock Management,Other Plant ByProducts,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Other Plant ByProducts,7,1,AOM_000632,Hops,AOM_001916,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-099,normal,Management,Management / Livestock Management,African Yam Bean,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Roots and Tuber ByProducts/African Yam Bean,8,2,AOM_003918;AOM_006320,African Yam Bean Ground; African Yam Bean Dried Ground,AOM_000641,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Roots and Tuber ByProducts,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-100,normal,Management,Management / Livestock Management,Beet,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Roots and Tuber ByProducts/Beet,8,1,AOM_001836,Beet Pulp,AOM_000641,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Roots and Tuber ByProducts,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-101,normal,Management,Management / Livestock Management,Beet Fodder,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Roots and Tuber ByProducts/Beet/Beet Fodder,9,1,AOM_006221,Beet Fodder Ensiled,AOM_000641,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Roots and Tuber ByProducts,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-102,normal,Management,Management / Livestock Management,Beetroot,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Roots and Tuber ByProducts/Beetroot,8,1,AOM_001439,Beetroot Discards,AOM_000641,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Roots and Tuber ByProducts,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-103,medium,Management,Management / Livestock Management,Cassava,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Roots and Tuber ByProducts/Cassava,8,9,AOM_000634;AOM_000635;AOM_000638;AOM_001251;AOM_002112;AOM_003911;AOM_003917;AOM_003972;AOM_003978,Cassava Bran; Cassava Leaves; Cassava Shaft; Cassava Waste; Cassava Peel,AOM_000641,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Roots and Tuber ByProducts,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-104,normal,Management,Management / Livestock Management,Cassava Tuber,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Roots and Tuber ByProducts/Cassava/Cassava Tuber,9,1,AOM_006059,Cassava Tuber Dried Ground,AOM_000641,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Roots and Tuber ByProducts,AOM_000679,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-105,normal,Management,Management / Livestock Management,Potato,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Roots and Tuber ByProducts/Potato,8,2,AOM_001281;AOM_001777,Potato Hash; Potato Processing Waste,AOM_000641,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Roots and Tuber ByProducts,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-106,normal,Management,Management / Livestock Management,Sweet Potato,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Roots and Tuber ByProducts/Sweet Potato,8,2,AOM_001267;AOM_002101,Sweet Potato Vine; Sweet Potato Peels,AOM_000641,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Roots and Tuber ByProducts,AOM_000680,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-107,normal,Management,Management / Livestock Management,Taro,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Roots and Tuber ByProducts/Taro,8,2,AOM_001266;AOM_003266,Taro Leaves; Taro Root,AOM_000641,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Roots and Tuber ByProducts,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-108,normal,Management,Management / Livestock Management,Yam,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Roots and Tuber ByProducts/Yam,8,1,AOM_000640,Yam Peels,AOM_000641,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Roots and Tuber ByProducts,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-109,medium,Management,Management / Livestock Management,Sugar Beet,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Sugar Processing ByProducts/Sugar Beet,8,4,AOM_001482;AOM_001483;AOM_003482;AOM_003492,Sugar Beet Molasses; Sugar Beet Pulp; Sugar Beet; Sugar Beet Leaves,AOM_000644,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Sugar Processing ByProducts,AOM_003482,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-110,medium,Management,Management / Livestock Management,Sugarcane,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Sugar Processing ByProducts/Sugarcane,8,3,AOM_000642;AOM_002166;AOM_002344,Sugarcane Molasses; Sugarcane Bagasse; Sugarcane Peel,AOM_000644,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Sugar Processing ByProducts,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-111,normal,Management,Management / Livestock Management,Arugula,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Vegetable ByProducts/Arugula,8,1,AOM_001300,Arugula Seed Ground,AOM_001916,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-112,normal,Management,Management / Livestock Management,Cabbage,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Vegetable ByProducts/Cabbage,8,1,AOM_001842,Cabbage Discards,AOM_001916,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-113,normal,Management,Management / Livestock Management,Carrot,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Vegetable ByProducts/Carrot,8,1,AOM_002167,Carrot Waste,AOM_001916,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-114,normal,Management,Management / Livestock Management,Tomato,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Vegetable ByProducts/Tomato,8,2,AOM_001436;AOM_001956,Tomato Skin Seed; Tomato Waste,AOM_001916,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-115,medium,Management,Management / Livestock Management,Crop Product,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product,6,5,AOM_000662;AOM_000665;AOM_000667;AOM_000677;AOM_000681,Cereal Products; Fruit Product; Legume Products; Oil Plant Products; Roots and Tuber Products,AOM_100850,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-116,normal,Management,Management / Livestock Management,Cash Crops Products,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Cash Crops Products,7,1,AOM_003323,Sugar,AOM_100850,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-117,normal,Management,Management / Livestock Management,Cocoa,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Cash Crops Products/Cocoa,8,2,AOM_002106;AOM_002107,Cocoa Bean Cake; Cocoa Bean,AOM_100850,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-118,normal,Management,Management / Livestock Management,Coffee,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Cash Crops Products/Coffee,8,1,AOM_001323,Coffee Ground Roasted,AOM_100850,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-119,normal,Management,Management / Livestock Management,Rice,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Cereal Products/Rice,8,2,AOM_000655;AOM_000656,Rice Grain; Whole Rice Ground,AOM_000662,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Cereal Products,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-120,normal,Management,Management / Livestock Management,Date,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Fruit Product/Date,8,1,AOM_002353,Date Ground,AOM_000665,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Fruit Product,AOM_001311,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-121,medium,Management,Management / Livestock Management,Fruit Products,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Fruit Products,7,4,AOM_000663;AOM_001265;AOM_001435;AOM_001847,Jackfruit; Ziziphus mauritiania; Mango; Ficus sur,AOM_100850,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-122,normal,Management,Management / Livestock Management,Lemon,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Fruit Products/Lemon,8,1,AOM_001259,Lemon Peel Essential Oil,AOM_100850,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-123,normal,Management,Management / Livestock Management,Tomato,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Fruit Products/Tomato,8,1,AOM_002137,Tomato Pulp,AOM_100850,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-124,medium,Management,Management / Livestock Management,Blue Lupin,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Legume Products/Blue Lupin,8,3,AOM_001117;AOM_001351;AOM_001896,Blue Lupin Dried; Blue Lupin; Blue Lupin Grain,AOM_000667,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Legume Products,AOM_000076;AOM_001351,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-125,normal,Management,Management / Livestock Management,Common Bean,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Legume Products/Common Bean,8,1,AOM_001320,Common Bean Crushed,AOM_000667,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Legume Products,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-126,normal,Management,Management / Livestock Management,Winged Bean,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Legume Products/Winged Bean,8,1,AOM_001752,Winged Bean Ground,AOM_000667,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Legume Products,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-127,normal,Management,Management / Livestock Management,Coconut,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Oil Plant Products/Coconut,8,1,AOM_003700,Coconut Oil,AOM_000677,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Oil Plant Products,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-128,normal,Management,Management / Livestock Management,Noug,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Oil Plant Products/Noug,8,1,AOM_001700,Noug Cake Ground,AOM_000677,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Oil Plant Products,AOM_001190,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-129,medium,Management,Management / Livestock Management,Palm,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Oil Plant Products/Palm,8,3,AOM_000671;AOM_000672;AOM_001837,Palm Oil; Palm Oil Crude; Palm Oil Sludge,AOM_000677,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Oil Plant Products,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-130,normal,Management,Management / Livestock Management,Safflower,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Oil Plant Products/Safflower,8,2,AOM_001321;AOM_002209,Safflower Ground; Safflower Seed,AOM_000677,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Oil Plant Products,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-131,medium,Management,Management / Livestock Management,Cassava,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Roots and Tuber Products/Cassava,8,3,AOM_000678;AOM_000679;AOM_001322,Cassava Starch; Cassava Tuber; Cassava Ground,AOM_000681,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Roots and Tuber Products,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-132,normal,Management,Management / Livestock Management,Ensete ventricosum,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Roots and Tuber Products/Ensete ventricosum,8,1,AOM_001819,Ensete ventricosum Leaves,AOM_000681,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Roots and Tuber Products,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-133,normal,Management,Management / Livestock Management,Potato,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Roots and Tuber Products/Potato,8,1,AOM_001820,Potato Starch,AOM_000681,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Roots and Tuber Products,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-134,normal,Management,Management / Livestock Management,"Sweet potato tubers, fresh | Feedipedia","Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Roots and Tuber Products/Sweet potato tubers, fresh | Feedipedia",8,1,AOM_001818,Ensete ventricosum Corm,AOM_000681,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Roots and Tuber Products,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-135,normal,Management,Management / Livestock Management,Black Cumin Seed,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Spices ByProducts/Black Cumin/Black Cumin Seed,9,2,AOM_002215;AOM_006158,Black Cumin Seed Cake; Black Cumin Seed Cake Crushed Dried,AOM_100850,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient,AOM_001357,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-136,normal,Management,Management / Livestock Management,Spices Products,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Spices Products,7,2,AOM_001354;AOM_001780,Turmeric; Lippia javanica,AOM_100850,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-137,normal,Management,Management / Livestock Management,Black Cumin,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Spices Products/Black Cumin,8,2,AOM_001357;AOM_001358,Black Cumin Seed; Black Cumin Ground,AOM_100850,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-138,medium,Management,Management / Livestock Management,Rosemary,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Spices Products/Rosemary,8,3,AOM_001344;AOM_001345;AOM_003887,Rosemary Oil; Rosemary Leaves; Rosemary Residues,AOM_100850,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-139,medium,Management,Management / Livestock Management,Vegetable Products,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Vegetable Products,7,4,AOM_001360;AOM_001850;AOM_003066;AOM_003070,Scarlet Eggplant; Brassica oleracea; Alternanthera sessilis; Talinum fruticosum,AOM_100850,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-140,normal,Management,Management / Livestock Management,Fluted Pumpkin,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Vegetable Products/Fluted Pumpkin,8,1,AOM_001256,Fluted Pumpkin Leaves,AOM_100850,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-141,normal,Management,Management / Livestock Management,Garlic,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Vegetable Products/Garlic,8,1,AOM_006200,Garlic Oil,AOM_100850,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-142,normal,Management,Management / Livestock Management,Onion,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Vegetable Products/Onion,8,2,AOM_001359;AOM_003359,Onion Bulb; Onion Veins,AOM_100850,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-143,normal,Management,Management / Livestock Management,Bothriocloa,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Bothriocloa,8,1,AOM_001898,Bothriocloa Dried,AOM_000701,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
PARENT-144,normal,Management,Management / Livestock Management,Hordeum vulgare,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Hordeum vulgare,8,1,AOM_001386,Hordeum vulgare Dried,AOM_000701,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages,,"Mint explicit intermediate concept, map to existing concept, reparent children, or reject hierarchy?",,,,,,
